id,instance(occurrence),title,date,starttime,endtime,description,period (frequency),created on,created by,members,event_startdate,event_enddate
1,1,Tech Check,08/01/2017,800,900,discussing progress of our digital personal,BIWEEKLY,07/15/2017,42,"[{id:42, name:Matt, status:”Accepted”}, {id:1, name:Jeff, xstatus:”NotAccepted”}]",08/01/2017,00/00/0000
3,12,Morning Meeting,08/01/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
5,1,Storeday,08/02/2017,800,1600,I’m working at the store this day. ,WEEKLY,08/01/2017,42,"[{id:id, name:name, status:status}]",08/03/2017,00/00/0000
3,13,Morning Meeting,08/02/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
6,1,Job discussion,08/03/2017,1100,1230,Meeting to talk about my career.,ONETIME,08/01/2017,42,"[{id:id, name:name, status:status}]",08/03/2017,00/00/0000
3,14,Morning Meeting,08/03/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,15,Morning Meeting,08/04/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,16,Morning Meeting,08/05/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,17,Morning Meeting,08/06/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,18,Morning Meeting,08/07/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,19,Morning Meeting,08/08/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,20,Morning Meeting,08/09/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
5,2,Storeday,08/09/2017,800,1600,I’m working at the store this day. ,WEEKLY,08/01/2017,42,"[{id:id, name:name, status:status}]",08/03/2017,00/00/0000
3,20,Morning Meeting,08/10/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,21,Morning Meeting,08/11/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,22,Morning Meeting,08/12/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,23,Morning Meeting,08/13/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
13,1,Website Sprint,08/14/2017,0,0,Working on 45thstbedding,RANGE,08/03/2017,42,"[{id:id, name:name, status:status}]",08/14/2017,08/18/2017
3,24,Morning Meeting,08/14/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
1,2,Tech Check,08/15/2017,800,900,discussing progress of our digital personal,BIWEEKLY,07/15/2017,42,"[{id:42, name:Matt, status:”Accepted”}, {id:1, name:Jeff, status:”NotAccepted”}]",08/01/2017,00/00/0000
3,25,Morning Meeting,08/15/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
5,3,Storeday,08/16/2017,800,1600,I’m working at the store this day. ,WEEKLY,08/01/2017,42,"[{id:id, name:name, status:status}]",08/03/2017,00/00/0000
3,26,Morning Meeting,08/16/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,27,Morning Meeting,08/17/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,28,Morning Meeting,08/18/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,29,Morning Meeting,08/19/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
3,30,Morning Meeting,08/20/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
10,1,Gravity Payments,08/21/2017,1300,1500,Discussion of terminal payments,ONETIME,08/03/2017,42,"[{id:id, name:name, status:status}]",08/21/2017,00/00/0000
3,31,Morning Meeting,08/21/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
16,1,Website Sprint Review,08/21/2017,1100,1200,Review of 45thstbedding,ONETIME,08/04/2017,42,"[{id:id, name:name, status:status}]",08/21/2017,00/00/0000
3,32,Morning Meeting,08/23/2017,800,815,Meeting with the warehouse,DAILY,07/15/2017,42,"[{id:id, name:name, status:status}]",07/17/2017,00/00/0000
5,4,Storeday,08/23/2017,800,1600,I’m working at the store this day. ,WEEKLY,08/01/2017,42,"[{id:id, name:name, status:status}]",08/03/2017,00/00/0000
